,title,genre,author,cover_type,ratings,ranks,price,no_of_reviews,year
864,The Great Gatsby: The Only Authorized Edition,Non Fiction,F. Scott Fitzgerald,Paperback,4.4,60,7.1,"15,450",2017
865,The Great Gatsby: The Only Authorized Edition,Non Fiction,F. Scott Fitzgerald,Paperback,4.4,79,7.1,"15,450",2019
878,1Q84: A novel,Fiction,Haruki Murakami,Hardcover,4.4,61,48.89,"9,174",2011
879,Boomerang: Travels in the New Third World,Non Fiction,Michael Lewis,Hardcover,4.4,62,12.0,"3,301",2011
880,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",Non Fiction,Tom Rath,Hardcover,4.5,64,15.52,"2,621",2011
881,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",Non Fiction,Tom Rath,Hardcover,4.5,64,15.52,"2,621",2012
886,Elder Scrolls V: Skyrim: Prima Official Game Guide,Non Fiction,David Hodgson,Paperback,4.6,65,24.99,1871,2011
887,Through My Eyes,Non Fiction,Tim Tebow,Hardcover,4.8,70,8.18,458,2011
888,The Land of Painted Caves: A Novel (Earth's Children),Fiction,Jean M. Auel,Hardcover,4.2,71,20.29,"9,688",2011
889,"The Social Animal: The Hidden Sources of Love, Character, and Achievement",Non Fiction,David Brooks,Hardcover,4.4,72,17.09,"1,216",2011
890,Guinness World Records 2012,Non Fiction,Guinness World Records,Hardcover,4.5,74,14.0,511,2011
891,State of Wonder,Fiction,Ann Patchett,Hardcover,4.3,75,16.2,"9,842",2011
892,A Visit from the Goon Squad,Fiction,Jennifer Egan,Paperback,4.0,76,10.82,"10,408",2011
893,"Prevent And Reverse Heart Disease: The Revolutionary, Scientifically Proven, Nutrition-Based Cure",Non Fiction,Caldwell B. Esselstyn Jr.,Paperback,4.6,77,12.79,6386,2011
894,Harry Potter Paperback Box Set (Books 1-7),Fiction,J. K. Rowling,Paperback,4.9,78,45.44,"112,326",2011
898,Explosive Eighteen: A Stephanie Plum Novel (Stephanie Plum Novels),Fiction,Janet Evanovich,Hardcover,4.5,79,11.99,"9,560",2011
899,Emotional Intelligence 2.0,Non Fiction,Travis Bradberry,Hardcover,4.5,73,14.98,"12,644",2016
900,Emotional Intelligence 2.0,Fiction,Travis Bradberry,Hardcover,4.5,73,14.98,"12,644",2016
902,Forks Over Knives: The Plant-Based Way to Health. The #1 New York Times Bestseller,Non Fiction,Gene Stone,Paperback,4.5,78,15.99,"3,201",2012
904,Fifty Shades Darker,Fiction,E L James,Paperback,4.5,2,9.53,"75,901",2012
906,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)",Fiction,E L James,Paperback,4.5,3,11.88,"61,921",2012
908,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),Fiction,E L James,Paperback,4.6,6,23.74,"69,952",2012
909,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),Fiction,E L James,Paperback,4.6,72,23.74,"69,952",2013
912,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Fiction,Jeff Kinney,Hardcover,4.7,9,13.95,"20,570",2012
913,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Non Fiction,Mark Owen,Hardcover,4.6,10,17.0,"14,254",2012
914,Gone Girl,Fiction,Gillian Flynn,Hardcover,4.1,12,16.98,"161,507",2012
915,Gone Girl,Fiction,Gillian Flynn,Paperback,4.1,17,12.9,"161,507",2014
920,"The Mark of Athena (Heroes of Olympus, Book 3)",Fiction,Rick Riordan,Hardcover,4.8,13,11.37,"31,568",2012
921,Killing Kennedy: The End of Camelot,Non Fiction,Bill O'Reilly,Hardcover,4.5,16,16.0,"15,511",2012
922,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Non Fiction,Eben Alexander,Paperback,4.4,20,11.39,"23,611",2012
923,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Non Fiction,Eben Alexander,Paperback,4.4,11,11.39,"23,611",2013
926,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Non Fiction,Ina Garten,Hardcover,4.8,22,18.29,"2,548",2012
927,The Casual Vacancy,Fiction,J.K. Rowling,Hardcover,3.6,24,9.69,"20,707",2012
928,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Fiction,Jonathan Cahn,Paperback,4.7,25,10.59,"24,210",2012
929,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Fiction,Jonathan Cahn,Paperback,4.7,80,10.59,"24,210",2013
