,title,genre,author,cover_type,ratings,ranks,price,no_of_reviews,year
957,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Non Fiction,Don Miguel Ruiz,Paperback,4.7,63,7.74,"107,837",2012
958,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Non Fiction,Don Miguel Ruiz,Paperback,4.7,54,7.74,"107,837",2014
959,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Non Fiction,Don Miguel Ruiz,Paperback,4.7,24,7.74,"107,837",2016
960,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Non Fiction,Don Miguel Ruiz,Paperback,4.7,23,7.74,"107,837",2017
961,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Non Fiction,Don Miguel Ruiz,Paperback,4.7,27,7.74,"107,837",2018
962,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Non Fiction,Don Miguel Ruiz,Paperback,4.7,20,7.74,"107,837",2019
1005,Bring Up the Bodies,Fiction,Hilary Mantel,Hardcover,4.5,68,16.99,"18,742",2012
1006,"Great by Choice: Uncertainty, Chaos, and Luck--Why Some Thrive Despite Them All (Good to Great, 5)",Non Fiction,Jim Collins,Hardcover,4.6,69,15.69,"1,593",2012
1007,Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss,Non Fiction,Joel Fuhrman MD,Mass Market Paperback,4.5,70,17.99,"11,913",2012
1008,"Reflected in You (Crossfire, Book 2)",Fiction,Sylvia Day,Paperback,4.6,71,10.57,"23,720",2012
1009,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Non Fiction,Katherine Boo,Hardcover,4.2,75,14.35,"9,091",2012
1010,"Deadlocked (Sookie Stackhouse/True Blood, Book 12)",Fiction,Charlaine Harris,Hardcover,4.5,76,14.22,"6,726",2012
1011,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition",Non Fiction,Kerry Patterson,Paperback,4.6,77,10.11,"11,994",2012
1014,The Jesus Storybook Bible: Every Story Whispers His Name,Non Fiction,Sally Lloyd-Jones,Hardcover,4.9,79,11.69,"12,635",2012
1015,The Jesus Storybook Bible: Every Story Whispers His Name,Non Fiction,Sally Lloyd-Jones,Hardcover,4.9,74,11.69,"12,635",2013
1016,The Jesus Storybook Bible: Every Story Whispers His Name,Non Fiction,Sally Lloyd-Jones,Hardcover,4.9,71,11.69,"12,635",2014
1017,The Jesus Storybook Bible: Every Story Whispers His Name,Non Fiction,Sally Lloyd-Jones,Hardcover,4.9,79,11.69,"12,635",2015
1030,Notorious Nineteen: A Stephanie Plum Novel,Fiction,Janet Evanovich,Hardcover,4.5,80,14.35,"14,601",2012
1031,Wonder,Fiction,R. J. Palacio,Hardcover,4.7,16,9.4,"83,278",2013
1032,Wonder,Fiction,R. J. Palacio,Hardcover,4.7,23,9.4,"83,278",2014
1033,Wonder,Fiction,R. J. Palacio,Hardcover,4.7,1,9.4,"83,278",2017
1034,Wonder,Fiction,R. J. Palacio,Hardcover,4.7,52,9.4,"83,278",2018
1059,Night (Night),Non Fiction,Elie Wiesel,Paperback,4.7,75,6.27,"20,159",2014
1060,Night (Night),Non Fiction,Elie Wiesel,Paperback,4.7,77,6.27,"20,159",2015
1069,"Lean In: Women, Work, and the Will to Lead",Non Fiction,Sheryl Sandberg,Hardcover,4.5,2,14.94,"17,083",2013
1070,"Lean In: Women, Work, and the Will to Lead",Non Fiction,Sheryl Sandberg,Hardcover,4.5,72,14.94,"17,083",2014
1073,"Diary of a Wimpy Kid: Hard Luck, Book 8",Fiction,Jeff Kinney,Hardcover,4.6,3,10.41,"26,414",2013
1074,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Fiction,Rush Limbaugh,Hardcover,4.9,4,11.36,"10,196",2013
1075,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Fiction,Rush Limbaugh,Hardcover,4.9,59,11.36,"10,196",2014
1078,"The House of Hades (Heroes of Olympus, Book 4)",Fiction,Rick Riordan,Hardcover,4.8,7,12.2,"34,109",2013
1079,"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Non Fiction,Charles Krauthammer,Hardcover,4.6,8,11.87,"11,067",2013
1080,Killing Jesus (Bill O'Reilly's Killing Series),Non Fiction,Bill O'Reilly,Hardcover,4.5,10,19.39,"21,071",2013
1081,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",Non Fiction,American Psychiatric Association,Paperback,4.7,12,93.49,"13,014",2013
1082,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",Non Fiction,American Psychiatric Association,Paperback,4.7,22,93.49,"13,014",2014
1083,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",Non Fiction,American Psychiatric Association,Paperback,4.7,74,93.49,"13,014",2015
1090,Divergent,Fiction,Veronica Roth,Paperback,4.7,19,5.37,"17,834",2013
1091,Divergent,Fiction,Veronica Roth,Paperback,4.7,13,5.37,"17,834",2014
1094,Laugh-Out-Loud Jokes for Kids,Non Fiction,Rob Elliott,Paperback,4.6,20,4.99,"11,765",2013
1095,Laugh-Out-Loud Jokes for Kids,Non Fiction,Rob Elliott,Paperback,4.6,3,4.99,"11,765",2014
1096,Laugh-Out-Loud Jokes for Kids,Non Fiction,Rob Elliott,Paperback,4.6,3,4.99,"11,765",2015
1097,Laugh-Out-Loud Jokes for Kids,Non Fiction,Rob Elliott,Paperback,4.6,15,4.99,"11,765",2016
1098,Laugh-Out-Loud Jokes for Kids,Non Fiction,Rob Elliott,Paperback,4.6,64,4.99,"11,765",2018
1124,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Non Fiction,Malcolm Gladwell,Hardcover,4.4,22,6.99,"13,519",2013
1125,Allegiant,Fiction,Veronica Roth,Hardcover,4.1,24,9.6,"66,888",2013
1126,Allegiant,Fiction,Veronica Roth,Hardcover,4.1,51,9.6,"66,888",2014
1129,And the Mountains Echoed,Fiction,Khaled Hosseini,Hardcover,4.3,25,10.63,"40,040",2013
1130,Humans of New York,Non Fiction,Brandon Stanton,Hardcover,4.8,26,8.39,"5,579",2013
1131,Humans of New York,Non Fiction,Brandon Stanton,Hardcover,4.8,20,8.39,"5,579",2014
1134,The Legend of Zelda: Hyrule Historia,Fiction,Patrick Thorpe,Hardcover,4.9,27,25.49,10372,2013
1135,Doctor Sleep: A Novel,Fiction,Stephen King,Hardcover,4.6,28,14.89,"41,103",2013
1136,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Fiction,Donna Tartt,Hardcover,4.1,30,18.5,"124,151",2013
1137,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Fiction,Donna Tartt,Hardcover,4.1,21,18.5,"124,151",2014
1140,The Day the Crayons Quit,Fiction,Drew Daywalt,Hardcover,4.8,12,9.4,"22,755",2014
1141,The Day the Crayons Quit,Fiction,Drew Daywalt,Hardcover,4.8,20,9.4,"22,755",2015
1148,The Very Hungry Caterpillar,Fiction,Eric Carle,Board book,4.9,29,5.57,"59,751",2016
1149,The Very Hungry Caterpillar,Fiction,Eric Carle,Board book,4.9,23,5.57,"59,752",2018
1150,The Very Hungry Caterpillar,Fiction,Eric Carle,Board book,4.9,16,5.57,"59,752",2019
1169,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Non Fiction,BrenÃ© Brown,Paperback,4.7,70,8.99,"29,089",2016
1170,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Non Fiction,BrenÃ© Brown,Paperback,4.7,64,8.99,"29,089",2019
1177,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual, Mental, Emotional, and Physical Bodies",Non Fiction,Zhi Gang Sha,Hardcover,4.6,77,14.0,289,2014
1179,To Kill a Mockingbird,Fiction,Harper Lee,Mass Market Paperback,4.7,16,11.49,"130,491",2014
1180,To Kill a Mockingbird,Fiction,Harper Lee,Mass Market Paperback,4.7,12,11.49,"130,491",2015
1181,To Kill a Mockingbird,Fiction,Harper Lee,Mass Market Paperback,4.7,16,11.49,"130,491",2016
1182,To Kill a Mockingbird,Fiction,Harper Lee,Paperback,4.7,53,8.89,"130,491",2018
1203,Ender's Game (The Ender Quintet),Fiction,Orson Scott Card,Mass Market Paperback,4.6,52,19.76,"39,908",2013
1204,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Non Fiction,BrenÃ© Brown,Paperback,4.7,53,6.64,"40,339",2013
1205,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Non Fiction,BrenÃ© Brown,Paperback,4.7,60,6.64,"40,339",2014
1206,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Non Fiction,BrenÃ© Brown,Paperback,4.7,57,6.64,"40,339",2015
1207,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Non Fiction,BrenÃ© Brown,Paperback,4.7,65,6.64,"40,339",2016
1208,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Non Fiction,BrenÃ© Brown,Paperback,4.7,71,6.64,"40,339",2017
1209,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Non Fiction,BrenÃ© Brown,Paperback,4.7,60,6.64,"40,339",2019
1222,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Fiction,BrenÃ© Brown,Paperback,4.7,53,6.64,"40,339",2013
1223,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Fiction,BrenÃ© Brown,Paperback,4.7,60,6.64,"40,339",2014
1224,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Fiction,BrenÃ© Brown,Paperback,4.7,57,6.64,"40,339",2015
1225,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Fiction,BrenÃ© Brown,Paperback,4.7,65,6.64,"40,339",2016
1226,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Fiction,BrenÃ© Brown,Paperback,4.7,71,6.64,"40,339",2017
1227,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Fiction,BrenÃ© Brown,Paperback,4.7,60,6.64,"40,339",2019
1246,"The Cuckoo's Calling (A Cormoran Strike Novel, 1)",Fiction,Robert Galbraith,Hardcover,4.2,54,15.7,"71,063",2013
1247,America the Beautiful: Rediscovering What Made This Nation Great,Non Fiction,Ben Carson  M.D.,Paperback,4.7,56,12.44,4609,2013
1248,The Liberty Amendments: Restoring the American Republic,Non Fiction,Mark R. Levin,Hardcover,4.8,57,12.98,"4,338",2013
1249,ZEALOT: The Life and Times of Jesus of Nazareth,Non Fiction,Reza Aslan,Hardcover,4.4,58,13.03,"10,809",2013
1250,SI-COLOGY 1: Tales and Wisdom from Duck Dynasty's Favorite Uncle,Non Fiction,Si Robertson,Hardcover,4.7,61,8.1,"2,567",2013
1251,"IT'S ALL GOOD: Delicious, Easy Recipes That Will Make You Look Good and Feel Great",Non Fiction,Gwyneth Paltrow,Hardcover,4.5,62,24.62,"1,471",2013
1252,Jerusalem: A Cookbook,Non Fiction,Yotam Ottolenghi,Hardcover,4.8,64,19.29,"5,547",2013
1253,"Becoming a Supple Leopard: Movement, Mobility, and Maintenance of the Human Animal",Non Fiction,Kelly Starrett,Hardcover,4.7,65,45.14,3977,2013
1254,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",Non Fiction,David Perlmutter MD,Hardcover,4.5,66,16.59,"10,857",2013
1256,Looking for Alaska,Fiction,John Green,Paperback,4.5,67,7.64,"31,735",2013
1258,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,Non Fiction,Malala Yousafzai,Hardcover,4.5,68,6.35,"19,923",2013
1259,Love You Forever,Fiction,Robert Munsch,Paperback,4.9,69,4.98,"59,623",2013
1260,Love You Forever,Fiction,Robert Munsch,Paperback,4.9,52,4.98,"59,623",2016
1261,Love You Forever,Fiction,Robert Munsch,Paperback,4.9,72,4.98,"59,623",2017
1262,Love You Forever,Fiction,Robert Munsch,Paperback,4.9,73,4.98,"59,623",2018
1287,The Perks of Being a Wallflower,Fiction,Stephen Chbosky,Paperback,4.7,70,11.22,"38,305",2013
1288,Practical Paleo: A Customized Approach to Health and a Whole-Foods Lifestyle,Non Fiction,Diane Sanfilippo,Paperback,4.6,71,11.98,4689,2013
1289,"The FastDiet: Lose Weight, Stay Healthy, and Live Longer with the Simple Secret of Intermittent Fasting",Non Fiction,Dr Dr Michael Mosley,Hardcover,4.3,73,5.47,14229,2013
1290,Divergent / Insurgent,Fiction,Veronica Roth,Hardcover,4.5,75,9.44,"60,241",2013
1292,"The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism",Non Fiction,Doris Kearns Goodwin,Hardcover,4.5,77,19.45,"4,151",2013
1293,Mindset: The New Psychology of Success,Non Fiction,Carol S. S. Dweck,Paperback,4.6,23,12.08,"27,043",2015
1294,Mindset: The New Psychology of Success,Non Fiction,Carol S. S. Dweck,Paperback,4.6,21,11.66,"27,043",2016
1295,Mindset: The New Psychology of Success,Non Fiction,Carol S. S. Dweck,Paperback,4.6,74,11.66,"27,043",2017
1308,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Non Fiction,Valorie Schaefer,Paperback,4.8,78,7.93,"26,276",2014
1309,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Non Fiction,Valorie Schaefer,Paperback,4.8,67,7.93,"26,276",2015
1310,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Non Fiction,Valorie Schaefer,Paperback,4.8,79,7.93,"26,276",2016
1311,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Non Fiction,Valorie Schaefer,Paperback,4.8,51,7.93,"26,276",2017
1312,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Non Fiction,Valorie Schaefer,Paperback,4.8,68,7.93,"26,276",2018
1343,Frozen (Little Golden Book),Fiction, Nancy Cote,Hardcover,4.7,2,5.99,7375,2014
1344,Diary of a Wimpy Kid: The Long Haul,Fiction,Jeff Kinney,Hardcover,4.6,5,8.75,"29,789",2014
1345,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Non Fiction,Randall Munroe,Hardcover,4.6,7,11.94,"22,513",2014
1346,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Non Fiction,Randall Munroe,Hardcover,4.6,60,11.94,"22,513",2015
1349,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,Fiction,DK,Paperback,4.6,11,5.9,"4,963",2014
1350,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,Fiction,DK,Paperback,4.6,75,5.9,"4,963",2015
1353,The Book with No Pictures,Fiction,B. J. Novak,Hardcover,4.8,24,9.9,"19,049",2014
1356,Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Fiction,Rush Limbaugh,Hardcover,4.9,25,10.99,"5,471",2014
1357,JOURNEY TO THE ICE P,Fiction,RH Disney,Paperback,4.6,28,7.11,"1,100",2014
1358,Little Blue Truck,Fiction,Alice Schertle,Board book,4.9,30,12.26,"1,961",2014
1360,First 100 Words: A Padded Board Book,Non Fiction,Roger Priddy,Board book,4.7,1,4.78,"37,002",2015
1361,First 100 Words: A Padded Board Book,Non Fiction,Roger Priddy,Board book,4.7,3,4.78,"37,002",2016
1362,First 100 Words: A Padded Board Book,Non Fiction,Roger Priddy,Board book,4.7,9,4.78,"37,002",2017
1363,First 100 Words: A Padded Board Book,Non Fiction,Roger Priddy,Board book,4.7,15,4.78,"37,002",2018
1380,All the Light We Cannot See,Fiction,Anthony Doerr,Hardcover,4.5,8,15.12,"215,099",2015
1381,All the Light We Cannot See,Fiction,Anthony Doerr,Hardcover,4.5,55,15.12,"215,099",2016
1387,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Non Fiction,Thug Kitchen,Hardcover,4.6,30,29.74,"2,943",2017
1394,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Non Fiction,Daniel James Brown,Paperback,4.6,21,16.99,"82,105",2015
1396,Yes Please,Non Fiction,Amy Poehler,Hardcover,4.2,52,14.0,"20,531",2014
1397,41: A Portrait of My Father,Non Fiction,George W. Bush,Hardcover,4.6,56,11.37,"5,029",2014
1398,Minecraft: The Complete Handbook Collection,Fiction,Stephanie Milton,Hardcover,4.8,57,19.99,"1,434",2014
1399,Frozen: A Tale of Two Sisters,Fiction,Melissa Lagonegro,Paperback,4.4,58,3.79,"2,247",2014
1400,Divergent / Insurgent / Allegiant,Fiction,Veronica Roth,Hardcover,4.6,61,59.98,"4,662",2014
1401,Flash Boys,Non Fiction,Michael Lewis,Hardcover,4.5,63,17.88,"17,841",2014
1402,Rush Revere and the American Revolution: Time-Travel Adventures With Exceptional Americans,Fiction,Rush Limbaugh,Hardcover,4.9,64,11.63,"4,884",2014
1403,Dear Zoo: A Lift-the-Flap Book,Fiction,Rod Campbell,Board book,4.9,65,5.0,"28,290",2014
1404,Dear Zoo: A Lift-the-Flap Book,Fiction,Rod Campbell,Board book,4.9,19,5.0,"28,290",2015
1405,Dear Zoo: A Lift-the-Flap Book,Fiction,Rod Campbell,Board book,4.9,22,5.0,"28,290",2017
1406,Dear Zoo: A Lift-the-Flap Book,Fiction,Rod Campbell,Board book,4.9,69,5.0,"28,290",2019
1427,The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones,Fiction,George R. R. Martin,Hardcover,4.7,67,29.62,"10,471",2014
1428,The Real ACT Prep Guide,Non Fiction,ACT,Paperback,4.4,68,29.92,815,2014
1429,Gray Mountain: A Novel,Fiction,John Grisham,Hardcover,4.0,69,17.24,"86,406",2014
1430,The Invention of Wings,Fiction,Sue Monk Kidd,Hardcover,4.5,73,18.98,"53,610",2014
1431,Lord of the Flies,Fiction,William Golding,Mass Market Paperback,4.5,74,5.79,"45,552",2014
1433,"The Skinnytaste Cookbook: Light on Calories, Big on Flavor",Non Fiction,Gina Homolka,Hardcover,4.7,79,17.27,"8,685",2014
1434,Fahrenheit 451,Fiction,Ray Bradbury,Paperback,4.6,80,8.36,"48,342",2014
1435,Fahrenheit 451,Fiction,Ray Bradbury,Paperback,4.6,66,8.36,"48,342",2015
1436,Fahrenheit 451,Fiction,Ray Bradbury,Paperback,4.6,51,8.36,"48,342",2016
1437,Fahrenheit 451,Fiction,Ray Bradbury,Paperback,4.6,68,8.36,"48,342",2017
1438,Fahrenheit 451,Fiction,Ray Bradbury,Paperback,4.6,71,8.36,"48,342",2019
1464,Paper Towns,Fiction,John Green,Paperback,4.2,61,7.68,"35,548",2015
1466,The Outsiders,Fiction,S. E. Hinton,Paperback,4.8,75,5.74,"36,110",2016
1470,Goodnight Moon,Fiction,Margaret Wise Brown,Board book,4.9,69,5.36,"27,591",2016
1475,Chicka Chicka Boom Boom (Board Book),Fiction,Bill Martin Jr.,Board book,4.9,58,4.59,"37,071",2015
1476,Chicka Chicka Boom Boom (Board Book),Fiction,Bill Martin Jr.,Board book,4.9,78,4.59,"37,071",2016
1479,Chicka Chicka Boom Boom (Board Book),Non Fiction,Bill Martin Jr.,Board book,4.9,58,4.59,"37,071",2015
1480,Chicka Chicka Boom Boom (Board Book),Non Fiction,Bill Martin Jr.,Board book,4.9,78,4.59,"37,071",2016
1481,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Non Fiction,Marie KondÅ,Hardcover,4.5,2,8.89,58643,2015
1482,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Non Fiction,Marie KondÅ,Hardcover,4.5,4,8.89,58643,2016
1483,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Non Fiction,Marie KondÅ,Hardcover,4.5,28,8.89,"58,643",2017
1484,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Non Fiction,Marie KondÅ,Hardcover,4.5,28,8.89,58641,2019
1501,Secret Garden: An Inky Treasure Hunt and Coloring Book for Adults,Non Fiction,Johanna Basford,Paperback,4.7,4,12.15,"15,454",2015
1503,Go Set a Watchman: A Novel,Fiction,Harper Lee,Hardcover,3.8,6,9.99,"52,432",2015
1504,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints)",Non Fiction,Johanna Basford,Paperback,4.7,7,11.97,"8,297",2015
1505,The Girl on the Train,Fiction,Paula Hawkins,Hardcover,4.1,9,9.1,"492,045",2015
1506,The Girl on the Train,Fiction,Paula Hawkins,Paperback,4.1,20,10.33,"492,045",2016
1509,Adult Coloring Book: Stress Relieving Patterns,Non Fiction,Blue Star Coloring,Paperback,4.5,10,6.91,"4,338",2015
1510,Diary of a Wimpy Kid #10: Old School,Fiction,Jeff Kinney,Hardcover,4.7,11,7.67,"31,143",2015
1511,Adult Coloring Book: Stress Relieving Animal Designs,Non Fiction,Blue Star Coloring,Paperback,4.6,13,7.99,"3,983",2015
1512,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns",Non Fiction,Coloring Books for Adults,Paperback,4.5,14,8.49,"3,189",2015
1513,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns",Non Fiction,Coloring Books for Adults,Paperback,4.5,68,8.49,"3,189",2016
1516,Humans of New York : Stories,Non Fiction,Brandon Stanton,Hardcover,4.9,15,15.69,"5,378",2015
1517,The Martian,Fiction,Andy Weir,Paperback,4.6,16,10.41,"170,654",2015
1518,"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades Of Grey Series, 4)",Fiction,E L James,Paperback,4.5,24,12.76,"117,804",2015
1519,The 5 Love Languages: The Secret to Love that Lasts,Non Fiction,Gary Chapman,Paperback,4.8,27,8.39,"89,666",2015
1520,The 5 Love Languages: The Secret to Love that Lasts,Non Fiction,Gary Chapman,Paperback,4.8,9,8.39,"89,666",2016
1521,The 5 Love Languages: The Secret to Love that Lasts,Non Fiction,Gary Chapman,Paperback,4.8,12,8.39,"89,666",2017
1522,The 5 Love Languages: The Secret to Love that Lasts,Non Fiction,Gary Chapman,Paperback,4.8,14,8.39,"89,666",2018
1523,The 5 Love Languages: The Secret to Love that Lasts,Non Fiction,Gary Chapman,Paperback,4.8,10,8.39,"89,666",2019
1544,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Non Fiction,Melissa Hartwig Urban,Hardcover,4.6,10,16.26,"16,476",2016
1545,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Non Fiction,Melissa Hartwig Urban,Hardcover,4.6,10,16.26,"16,476",2017
1546,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Non Fiction,Melissa Hartwig Urban,Hardcover,4.6,54,16.26,"16,476",2018
1556,Lost Ocean: An Inky Adventure and Coloring Book for Adults,Non Fiction,Johanna Basford,Paperback,4.7,53,14.95,"8,243",2015
1557,10-Day Green Smoothie Cleanse,Non Fiction,JJ Smith,Paperback,4.7,56,9.89,"37,670",2015
1560,The Day the Crayons Came Home,Fiction,Drew Daywalt,Hardcover,4.8,59,12.72,"5,808",2015
1561,Get What's Yours: The Secrets to Maxing Out Your Social Security (The Get What's Yours Series),Non Fiction,Laurence J. Kotlikoff,Hardcover,4.2,63,7.27,"3,542",2015
1562,Dragons Love Tacos,Fiction,Adam Rubin,Hardcover,4.8,65,9.92,"18,091",2015
1563,Dragons Love Tacos,Fiction,Adam Rubin,Hardcover,4.8,74,9.92,"18,091",2018
1572,Potty (Leslie Patricelli board books),Fiction,Leslie Patricelli,Board book,4.7,68,8.99,"13,731",2015
1573,Potty (Leslie Patricelli board books),Fiction,Leslie Patricelli,Board book,4.7,80,8.99,"13,731",2016
1576,Thing Explainer: Complicated Stuff in Simple Words,Non Fiction,Randall Munroe,Hardcover,4.5,69,17.69,"4,399",2015
1577,Dead Wake: The Last Crossing of the Lusitania,Non Fiction,Erik Larson,Hardcover,4.4,70,15.02,"31,166",2015
1578,"Inspiralized: Turn Vegetables into Healthy, Creative, Satisfying Meals: A Cookbook",Non Fiction,Ali Maffucci,Paperback,4.4,72,4.72,"3,850",2015
1579,Mystical Mandala Coloring Book (Dover Mandala Coloring Books),Non Fiction,Alberta Hutchinson,Paperback,4.5,73,3.99,"2,991",2015
1580,The 20/20 Diet: Turn Your Weight Loss Vision Into Reality,Non Fiction,Phil McGraw,Hardcover,4.0,76,12.0,"8,930",2015
1581,The Road to Character,Non Fiction,David Brooks,Hardcover,4.3,80,14.26,"6,034",2015
1582,Where Is Baby's Belly Button? A Lift-the-Flap Book,Non Fiction,Karen Katz,Board book,4.8,75,5.0,"13,556",2017
1584,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Fiction,Paulo Coelho,Paperback,4.6,57,11.15,"140,585",2016
1585,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Fiction,Paulo Coelho,Paperback,4.6,67,11.15,"140,585",2017
1586,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Fiction,Paulo Coelho,Paperback,4.6,51,11.15,"140,585",2018
1587,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Fiction,Paulo Coelho,Paperback,4.6,65,11.15,"140,585",2019
1604,"Brown Bear, Brown Bear, What Do You See?",Fiction,Bill Martin Jr.,Board book,4.9,56,4.94,"52,402",2016
1605,"Brown Bear, Brown Bear, What Do You See?",Fiction,Bill Martin Jr.,Board book,4.9,59,4.94,"52,401",2018
1614,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",Fiction,J.K. Rowling,Hardcover,4.3,1,7.83,"101,716",2016
1615,Diary of a Wimpy Kid #11: Double Down,Fiction,Jeff Kinney,Hardcover,4.7,6,15.4,"28,278",2016
1616,When Breath Becomes Air,Non Fiction,Paul Kalanithi,Hardcover,4.7,7,17.34,"99,633",2016
1617,A Man Called Ove: A Novel,Fiction,Fredrik Backman,Paperback,4.6,11,10.93,"185,952",2016
1618,A Man Called Ove: A Novel,Fiction,Fredrik Backman,Paperback,4.6,20,10.93,"185,952",2017
1621,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Non Fiction,Bill O'Reilly,Hardcover,4.6,12,18.34,"21,291",2016
1622,The Magnolia Story,Non Fiction,Chip Gaines,Hardcover,4.7,14,9.0,"21,902",2016
1623,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,Non Fiction,J. D. Vance,Hardcover,4.3,17,14.63,"95,582",2016
1624,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,Non Fiction,J. D. Vance,Hardcover,4.3,7,14.63,"95,582",2017
1627,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),Fiction,J.K. Rowling,Hardcover,4.6,18,13.39,"15,128",2016
1628,Hamilton: The Revolution,Non Fiction,Lin-Manuel Miranda,Hardcover,4.9,19,26.13,"14,245",2016
1629,"The Official SAT Study Guide, 2016 Edition",Non Fiction,The College Board,Paperback,4.4,22,21.0,"1,118",2016
1630,Milk and Honey,Non Fiction,Rupi Kaur,Paperback,4.7,25,7.83,"60,276",2016
1631,Milk and Honey,Non Fiction,Rupi Kaur,Paperback,4.7,2,7.83,"60,276",2017
